epoch,layer,grad_norm
1,stem.0,0.16284391283988953
1,blocks.0.conv1,0.08877737820148468
1,blocks.0.conv2,0.0869789570569992
1,blocks.0.gate_conv,0.0013674859656021
1,blocks.1.conv1,0.06972549110651016
1,blocks.1.conv2,0.059724852442741394
1,blocks.1.gate_conv,0.0018642303766682744
1,blocks.2.conv1,0.05404902994632721
1,blocks.2.conv2,0.059527065604925156
1,blocks.2.gate_conv,0.0017941065598279238
1,blocks.3.conv1,0.04755666106939316
1,blocks.3.conv2,0.05810823291540146
1,blocks.3.gate_conv,0.0021590455435216427
1,mean_conv2d_grad_norm,0.053421265356099375
2,stem.0,0.6772994995117188
2,blocks.0.conv1,0.5973300933837891
2,blocks.0.conv2,0.49986258149147034
2,blocks.0.gate_conv,0.009797134436666965
2,blocks.1.conv1,0.42719656229019165
2,blocks.1.conv2,0.3721025288105011
2,blocks.1.gate_conv,0.009860441088676453
2,blocks.2.conv1,0.3018086850643158
2,blocks.2.conv2,0.28675034642219543
2,blocks.2.gate_conv,0.012807684950530529
2,blocks.3.conv1,0.24044661223888397
2,blocks.3.conv2,0.21097904443740845
2,blocks.3.gate_conv,0.014267134480178356
2,mean_conv2d_grad_norm,0.28157756527742517
3,stem.0,0.4450402557849884
3,blocks.0.conv1,0.43327796459198
3,blocks.0.conv2,0.4692707359790802
3,blocks.0.gate_conv,0.008067898452281952
3,blocks.1.conv1,0.4201921224594116
3,blocks.1.conv2,0.3865015208721161
3,blocks.1.gate_conv,0.011725904420018196
3,blocks.2.conv1,0.3276132345199585
3,blocks.2.conv2,0.27912384271621704
3,blocks.2.gate_conv,0.01651129685342312
3,blocks.3.conv1,0.21048897504806519
3,blocks.3.conv2,0.22991769015789032
3,blocks.3.gate_conv,0.022782480344176292
3,mean_conv2d_grad_norm,0.2508087632461236
4,stem.0,1.0578248500823975
4,blocks.0.conv1,0.6180751323699951
4,blocks.0.conv2,0.5254992842674255
4,blocks.0.gate_conv,0.011108200997114182
4,blocks.1.conv1,0.5201126933097839
4,blocks.1.conv2,0.4382936656475067
4,blocks.1.gate_conv,0.011439568363130093
4,blocks.2.conv1,0.40267738699913025
4,blocks.2.conv2,0.32341068983078003
4,blocks.2.gate_conv,0.015261178836226463
4,blocks.3.conv1,0.23903703689575195
4,blocks.3.conv2,0.22078020870685577
4,blocks.3.gate_conv,0.018756330013275146
4,mean_conv2d_grad_norm,0.3386366327937979
5,stem.0,0.26575642824172974
5,blocks.0.conv1,0.3155333995819092
5,blocks.0.conv2,0.33989617228507996
5,blocks.0.gate_conv,0.008430438116192818
5,blocks.1.conv1,0.3203650712966919
5,blocks.1.conv2,0.2889142334461212
5,blocks.1.gate_conv,0.007910158485174179
5,blocks.2.conv1,0.27891671657562256
