epoch,train_loss,train_acc1,val_loss,val_acc1,lr,epoch_time
1,2.295426416940499,13.17886396011396,2.2813677658081053,13.039999993896485,0.02008,6.7854650020599365
2,1.7478606439383961,33.12633547008547,1.6060726865768433,38.159999993896484,0.04006,6.19819974899292
3,1.4363992519867725,46.24287749287749,1.4286695014953614,49.61999998168945,0.060039999999999996,6.217924118041992
4,1.212413356514738,56.14316239316239,1.217980293083191,56.51999995727539,0.08002,6.1993982791900635
5,1.0652999896609205,61.7588141025641,1.5500319751739502,49.91999993896484,0.1,6.26153302192688
6,0.9440971779347824,66.24599358974359,1.055459439086914,62.89999991455078,0.1,6.254193305969238
7,0.8451729253825978,70.07879273504274,0.9063044956207276,68.3200000366211,0.1,6.260387182235718
8,0.7725798742383974,72.68963675213675,1.1868283884048463,61.319999969482424,0.1,6.175158739089966
9,0.7160279721955628,74.93545227920228,1.0713511058807372,65.8,0.1,6.212299346923828
10,0.6629318543139346,76.77172364672364,0.812696960735321,72.03999989013671,0.1,6.17983603477478
11,0.622802944434674,78.21403133903134,0.9256399560928344,70.64000001220703,0.1,6.233886957168579
12,0.5914378705357555,79.53169515669515,0.8106938057899475,73.0399999633789,0.1,6.211746454238892
13,0.5635265712215011,80.34633190883191,0.9434579437255859,71.46,0.1,6.236642360687256
14,0.5380478149805313,81.47702991452991,0.8583740972518921,73.33999986572266,0.1,6.302309036254883
15,0.5210954549475613,82.20040954415954,0.6283726587295532,79.71999987792968,0.1,6.2224509716033936
16,0.5000178664498179,82.49866452991454,0.6036931800842286,80.28000002441406,0.1,6.219959259033203
17,0.48232175380076436,83.16862535612536,0.6074950393676758,78.60000001220703,0.1,6.2382612228393555
18,0.46112784624439357,84.11013176638177,0.6649075953483582,79.48000004882813,0.1,6.205937385559082
19,0.4468676868157509,84.53080484330485,1.325104950618744,67.44000006103515,0.1,6.248944044113159
20,0.4428003425272102,84.73335113960114,0.6136195833206177,80.67999986572265,0.1,6.198343515396118
21,0.4233025826534994,85.35657051282051,0.878330691242218,74.16000001220704,0.1,6.251078844070435
22,0.4172378062692463,85.60808404558405,0.8756945526123047,74.49999998779298,0.1,6.213186979293823
23,0.4131994252106403,85.84179131054131,0.7182708708763123,77.02000004882812,0.1,6.229952096939087
24,0.3907501464895373,86.52065527065527,0.7093012886047363,79.10000002441406,0.1,6.228934288024902
25,0.39479285627178995,86.56294515669515,0.5538901948451996,82.05999986572266,0.1,6.198087692260742
26,0.37905564012690485,86.79220085470085,0.9019141813278199,75.35999990234374,0.1,6.262898206710815
27,0.3751514104866234,87.00365028490029,0.8901923049926758,74.8,0.1,6.257909536361694
28,0.36534320301989204,87.3130341880342,0.7455436255455017,77.69999992675781,0.1,6.200455904006958
29,0.3613368547455198,87.5667735042735,0.7980077571868897,77.5399999633789,0.1,6.20319390296936
30,0.35492336253325146,87.50890313390313,0.6701681944847107,78.32000001220703,0.1,6.226723670959473
31,0.3439423238534873,88.08760683760684,0.6306069707870483,80.39999995117188,0.1,6.253969669342041
32,0.3412503131009914,88.08315527065527,0.8179710639953613,75.88,0.1,6.236850738525391
33,0.3323292449498788,88.47489316239316,0.6061603638648987,80.63999985351562,0.1,6.235504627227783
34,0.3368355183944403,88.37695868945869,0.5481078050613404,82.8999999633789,0.1,6.235783815383911
35,0.33212610845722024,88.57060185185185,0.6010802901268005,81.29999986572265,0.1,6.240831136703491
36,0.3239298363951197,88.71750356125357,0.5369872859954834,83.2399999633789,0.1,6.233409643173218
37,0.31908271018086676,88.86217948717949,0.7191294232368469,80.0400000366211,0.1,6.206517934799194
38,0.3133176206014095,89.16043447293447,0.5393426964759827,82.86000004882813,0.1,6.243022680282593
39,0.3147534033087244,89.25836894586895,0.5379898392677307,83.05999985351562,0.1,6.2135889530181885
40,0.30663724196942105,89.25836894586895,0.5643393099784851,82.25999998779297,0.1,6.25114893913269
41,0.3020176522837066,89.47204415954415,0.5511455730915069,82.07999998779297,0.1,6.237375736236572
42,0.30477799976143743,89.31623931623932,0.5406321710586548,82.70000004882813,0.1,6.2424633502960205
43,0.2930570117428771,89.85042735042735,0.9267100669860839,74.87999990234376,0.1,6.227538347244263
44,0.291085931735161,89.94168447293447,0.8415003869056702,76.22000001220704,0.1,6.227295160293579
45,0.2926260183679412,89.77029914529915,0.7769003335952759,78.82000002441406,0.1,6.263087272644043
46,0.28575536935587553,90.01736111111111,0.7268513215065002,79.23999993896484,0.1,6.2840070724487305
47,0.2872540432843048,90.04852207977208,0.5517390791893005,82.71999995117187,0.1,6.275981903076172
48,0.28596492531972056,90.16426282051282,0.467453240776062,84.57999989013672,0.1,6.254336833953857
49,0.27331309882324306,90.49813034188034,0.5525730207443237,82.71999990234374,0.1,6.180152416229248
50,0.2786306065117192,90.3423254985755,0.659022117614746,80.30000002441406,0.1,6.256450176239014
51,0.2719064230932469,90.56267806267806,0.7089678121566773,79.0400000366211,0.1,6.2054502964019775
52,0.2761362132396114,90.32674501424502,0.6963172182083129,80.60000002441406,0.1,6.2638468742370605
53,0.2699576407203987,90.51371082621083,0.5535907557487488,83.13999989013672,0.1,6.204903841018677
54,0.2650933813335549,90.77635327635328,0.7686548953056336,79.08000002441406,0.1,6.2216477394104
55,0.26661823503142407,90.70067663817663,0.5602691033363342,82.69999986572266,0.1,6.169280290603638
56,0.2698631025532372,90.53374287749288,0.4953757626533508,84.08,0.1,6.216131925582886
57,0.2622422092193552,90.85648148148148,0.9769758024215698,75.7999999267578,0.1,6.195135593414307
58,0.26152009277092425,90.73851495726495,0.6588636510848999,80.85999995117187,0.1,6.254041910171509
59,0.2524913078402182,91.24154202279202,0.9539750094413757,75.99999992675781,0.1,6.208333253860474
60,0.2562986973811079,91.09464031339031,0.7018540717124939,80.61999993896484,0.1,6.242289781570435
61,0.26473244876094015,90.86093304843305,0.8228069353103638,77.33999987792969,0.1,6.240183353424072
62,0.25002508922519845,91.16363960113961,0.7676113510131836,80.04000002441406,0.1,6.213003396987915
63,0.26077065067073896,90.78748219373219,0.7942140827178955,78.65999987792969,0.1,6.185188055038452
64,0.2443976222280084,91.39957264957265,0.7817236883163452,79.35999995117187,0.1,6.270406246185303
65,0.25172012857562115,91.21260683760684,0.5088806199073792,84.23999998779297,0.1,6.2412121295928955
66,0.2409970511568238,91.65776353276354,0.5612855521202087,83.62000004882813,0.1,6.251479148864746
67,0.24774455105052715,91.42850783475784,0.5254503018856048,84.0999999633789,0.1,6.242575645446777
68,0.23912327846995107,91.72453703703704,0.7467561349868774,79.97999985351562,0.1,6.273078441619873
69,0.25430210991802377,91.09241452991454,0.5374147511482239,84.37999985351563,0.1,6.229726552963257
70,0.24041830975445588,91.6889245014245,0.5537022256851196,84.49999989013672,0.1,6.25412654876709
71,0.24742211768684905,91.2304131054131,0.566224922657013,83.07999986572266,0.1,6.220552206039429
72,0.2495843718661542,91.28828347578347,0.7475931245803833,79.63999996337891,0.1,6.241288661956787
73,0.23637155740604102,91.76682692307692,0.8133545531272888,79.11999992675781,0.1,6.247197866439819
74,0.24577179090504633,91.26602564102564,0.620252181339264,80.59999987792969,0.1,6.2396745681762695
75,0.23611442825393458,91.95601851851852,1.4353244998931884,70.31999992675782,0.1,6.2234580516815186
76,0.23697440143663998,91.73344017094017,1.5933288181304932,69.43999995117187,0.1,6.303638458251953
77,0.23080112322358323,91.93376068376068,0.6502443825721741,82.67999987792969,0.1,6.237717151641846
78,0.2333075279141763,91.83805199430199,0.5110047678947449,84.75999986572266,0.1,6.225342512130737
79,0.23955950917851213,91.60879629629629,0.507826127243042,83.29999986572265,0.1,6.235516548156738
80,0.2341534713352168,91.76237535612536,0.5369954905509948,83.21999993896485,0.1,6.2066895961761475
81,0.2337679577264351,91.80021367521367,0.7065736061096192,79.49999996337891,0.1,6.22497820854187
82,0.2303320522449295,91.99608262108262,0.7375787662506104,80.71999993896485,0.1,6.282142400741577
83,0.2275685935660645,92.14966168091168,0.8376695045471192,79.03999986572266,0.1,6.18953800201416
84,0.22829500961507487,91.971599002849,0.9019352191925049,78.08000001220704,0.1,6.206849813461304
85,0.2356671533650822,91.71340811965813,0.5995241458892823,82.09999989013671,0.1,6.230519771575928
86,0.22705462806330107,92.02946937321937,0.6605518842220306,81.85999996337891,0.1,6.227038621902466
87,0.23161095121817032,91.88034188034187,0.5824523801803589,82.93999995117187,0.1,6.2464280128479
88,0.22348684272025726,92.0405982905983,0.7455834374427796,80.10000002441406,0.1,6.247435092926025
89,0.21482035439153682,92.46349715099716,0.6777549324035644,81.23999985351563,0.1,6.224879503250122
90,0.2210612671709808,92.32772435897436,0.6512195960998535,82.22000004882813,0.1,6.257219552993774
91,0.22256872210747156,92.2275641025641,0.6409204524993897,81.05999986572266,0.1,6.224886417388916
92,0.2233438338564332,92.17191951566952,1.1460250722885132,73.35999987792968,0.1,6.238178014755249
93,0.21975166386688536,92.2275641025641,0.6400766891479492,82.65999995117187,0.1,6.247560501098633
94,0.2192006348990477,92.3633368945869,0.8017856446266174,79.39999995117188,0.1,6.245095491409302
95,0.23091205491809083,91.94711538461539,0.5791327135562897,83.77999986572266,0.1,6.271241903305054
96,0.21816153730931784,92.36556267806267,0.6571409058570862,82.69999997558594,0.1,6.249908685684204
97,0.2194751149356535,92.24537037037037,0.6894502449035644,80.65999991455078,0.1,6.262493133544922
98,0.22011298441097268,92.3344017094017,0.6785175536155701,80.01999998779297,0.1,6.228774547576904
99,0.218377453797733,92.50356125356126,0.5692476829528809,84.11999989013673,0.1,6.2554521560668945
100,0.22021905808282374,92.21643518518519,0.6708592399597167,81.13999987792968,0.010000000000000002,6.224488973617554
101,0.11455701203470217,96.35416666666667,0.33490105605125425,89.75999992675781,0.010000000000000002,6.242477655410767
102,0.08345445718329686,97.59392806267806,0.3254264668941498,89.82000002441406,0.010000000000000002,6.2374489307403564
103,0.07188270641676552,97.90776353276354,0.33153842568397524,89.6599999267578,0.010000000000000002,6.240300178527832
104,0.06477057515110216,98.24163105413105,0.3322439337730408,89.73999992675782,0.010000000000000002,6.195899486541748
105,0.06047723411006636,98.38408119658119,0.33280252742767336,89.93999991455078,0.010000000000000002,6.256324768066406
106,0.0562535071894102,98.45753205128206,0.3356809091567993,89.84000002441407,0.010000000000000002,6.237570762634277
107,0.053190707276837945,98.56659544159544,0.34059083890914915,89.8800000366211,0.010000000000000002,6.205413341522217
108,0.050361077590418336,98.70236823361823,0.35234215197563173,89.77999992675781,0.010000000000000002,6.1944098472595215
109,0.046669754149270194,98.83368945868946,0.34286656913757324,89.6599999267578,0.010000000000000002,6.25269889831543
110,0.04431748894332481,98.86039886039886,0.3466638609409332,89.67999992675782,0.010000000000000002,6.1896984577178955
111,0.043286269602294154,98.93830128205128,0.3501939037799835,89.39999992675781,0.010000000000000002,6.226917028427124
112,0.040393200769298775,99.01620370370371,0.3607197835922241,89.84000003662109,0.010000000000000002,6.224539518356323
113,0.039490499921100604,99.01175213675214,0.35994052705764773,89.8000000366211,0.010000000000000002,6.256335496902466
114,0.03721793702779672,99.12081552706553,0.36478608741760254,89.53999992675782,0.010000000000000002,6.187651872634888
115,0.03610460279228171,99.16310541310541,0.36604585514068605,89.26000002441407,0.010000000000000002,6.2196362018585205
116,0.035282569356326364,99.17200854700855,0.3707135845661163,89.84000003662109,0.010000000000000002,6.229166030883789
117,0.0328010140713888,99.29665242165242,0.3774181602478027,89.37999991455078,0.010000000000000002,6.276913166046143
118,0.032156668843547585,99.29442663817663,0.36663623700141906,89.34000002441407,0.010000000000000002,6.192416667938232
119,0.032042687469589236,99.31000712250712,0.37772469601631165,89.6800000366211,0.010000000000000002,6.242973327636719
120,0.03017029683490382,99.33003917378917,0.3792729783535004,89.4600000366211,0.010000000000000002,6.1714537143707275
121,0.02902683364943816,99.36120014245014,0.3817668935775757,89.45999992675782,0.010000000000000002,6.2606213092803955
122,0.02873188581190303,99.37900641025641,0.3866710343837738,89.28000003662109,0.010000000000000002,6.217641592025757
123,0.028135200301742453,99.41239316239316,0.3758429277896881,89.34000002441407,0.010000000000000002,6.230871200561523
124,0.02560275953602672,99.5014245014245,0.3822068120956421,89.61999992675781,0.010000000000000002,6.229428052902222
125,0.026385154039134665,99.47026353276354,0.38324719409942626,89.59999991455078,0.010000000000000002,6.224493026733398
126,0.025596445673105553,99.4880698005698,0.3878162661552429,89.24000002441406,0.010000000000000002,6.220071792602539
127,0.02430817231594285,99.52368233618233,0.3859599383354187,89.21999991455078,0.010000000000000002,6.292956113815308
128,0.022961668723244275,99.61939102564102,0.3884372135639191,89.59999992675782,0.010000000000000002,6.243841171264648
129,0.023711252949622452,99.55261752136752,0.3888175740242004,89.33999991455079,0.010000000000000002,6.276022434234619
130,0.022717719356346335,99.57042378917379,0.403427917098999,89.43999991455078,0.010000000000000002,6.287919282913208
131,0.021796240889204618,99.5949074074074,0.3953573523521423,89.42000002441407,0.010000000000000002,6.241934776306152
132,0.022154604879465283,99.60381054131054,0.4018341317176819,89.36000002441406,0.010000000000000002,6.189295053482056
133,0.022183197951130038,99.58155270655271,0.40737415041923525,89.39999991455078,0.010000000000000002,6.2571094036102295
134,0.02079301884137837,99.65945512820512,0.3922010387420654,89.49999992675781,0.010000000000000002,6.244490385055542
135,0.020147621288014696,99.6772613960114,0.40377212810516355,89.53999991455078,0.010000000000000002,6.300028562545776
136,0.018957460488848114,99.6772613960114,0.4081479266643524,89.58000002441406,0.010000000000000002,6.234225511550903
137,0.018559192428020416,99.69951923076923,0.40996594409942627,89.35999992675781,0.010000000000000002,6.232209205627441
138,0.019145288117272393,99.6906160968661,0.40579077939987185,89.50000002441406,0.010000000000000002,6.209683895111084
139,0.019584452608690472,99.63719729344729,0.4107108899593353,89.48000001220703,0.010000000000000002,6.216656446456909
140,0.019065085026379835,99.66613247863248,0.40418387122154237,89.46000002441406,0.010000000000000002,6.2252092361450195
141,0.01719350713382122,99.75961538461539,0.405187890625,89.43999991455078,0.010000000000000002,6.240335464477539
142,0.01784105967077562,99.7173254985755,0.41655195503234865,89.03999991455078,0.010000000000000002,6.250194549560547
143,0.0177115450249693,99.69951923076923,0.4188662402153015,89.19999992675781,0.010000000000000002,6.207819700241089
144,0.017873784829663415,99.67948717948718,0.4284186448574066,89.09999991455078,0.010000000000000002,6.269442558288574
145,0.01728866194863074,99.72845441595442,0.4290333484649658,89.25999991455078,0.010000000000000002,6.222194671630859
146,0.01628219490563046,99.75071225071225,0.4143373013019562,89.50000002441406,0.010000000000000002,6.248486757278442
147,0.016850372799605853,99.73958333333333,0.4161776183605194,89.40000002441407,0.010000000000000002,6.222497463226318
148,0.016824277874050487,99.72622863247864,0.4269040564537048,89.05999991455079,0.010000000000000002,6.24932861328125
149,0.015314210391340729,99.77742165242165,0.42456433682441713,88.84000001220703,0.010000000000000002,6.200553894042969
150,0.015914913056619955,99.73735754985755,0.41400118069648745,89.33999992675781,0.0010000000000000002,6.2297139167785645
