step,train_loss,train_acc1,lr
50,2.311898317337036,10.1875,0.0001
100,2.301502692699432,10.40625,0.0001
150,2.2947534306844077,11.625,0.0001
200,2.288140254020691,12.46484375,0.0001
250,2.2825630712509155,13.06875,0.0001
300,2.2771492544809977,13.5234375,0.0001
350,2.271688559395926,14.120535714285714,0.0001
401,2.441496562957764,20.671875,0.02008
451,2.1431986904144287,24.921875,0.02008
501,2.0052714268366496,27.833333333333332,0.02008
551,1.9154375928640366,30.2109375,0.02008
601,1.8434718656539917,32.590625,0.02008
651,1.7952589245637258,34.0625,0.02008
701,1.7483752502713885,35.736607142857146,0.02008
752,1.528909502029419,42.953125,0.04006
802,1.480787297487259,44.953125,0.04006
852,1.4298819255828858,46.927083333333336,0.04006
902,1.3908620578050614,48.3984375,0.04006
952,1.3575038766860963,49.803125,0.04006
1002,1.3264658415317536,51.174479166666664,0.04006
1052,1.2987696051597595,52.21875,0.04006
1103,1.1884489476680755,56.671875,0.060039999999999996
1153,1.1772259509563445,57.4140625,0.060039999999999996
1203,1.1359942356745403,59.026041666666664,0.060039999999999996
1253,1.1141265374422074,60.09375,0.060039999999999996
1303,1.0978257896900177,60.61875,0.060039999999999996
1353,1.0814296565453212,61.234375,0.060039999999999996
1403,1.067233831712178,61.792410714285715,0.060039999999999996
1454,0.978649560213089,64.546875,0.08002
1504,0.9784096544981002,64.921875,0.08002
1554,0.9538367648919424,65.890625,0.08002
1604,0.9340142425894737,66.58984375,0.08002
1654,0.922124614238739,67.20625,0.08002
1704,0.9145787819226583,67.60416666666667,0.08002
1754,0.9031108423641749,67.91741071428571,0.08002
1805,0.8291831302642823,71.078125,0.1
1855,0.8379518735408783,70.65625,0.1
1905,0.839127326409022,70.41145833333333,0.1
1955,0.8252408793568611,70.828125,0.1
2005,0.822323493719101,71.0125,0.1
2055,0.814322847922643,71.2421875,0.1
2105,0.8051595694678171,71.61160714285714,0.1
2156,0.7561333417892456,73.859375,0.1
2206,0.7269227284193039,74.4921875,0.1
