epoch,layer,grad_norm
1,stem.0,16.252708435058594
1,blocks.0.conv1,22.93494415283203
1,blocks.0.conv2,24.791202545166016
1,blocks.1.conv1,25.414186477661133
1,blocks.1.conv2,25.480304718017578
1,blocks.2.conv1,25.46571922302246
1,blocks.2.conv2,22.831912994384766
1,blocks.3.conv1,21.16738510131836
1,blocks.3.conv2,18.401254653930664
1,blocks.4.conv1,15.949088096618652
1,blocks.4.conv2,14.204400062561035
1,blocks.5.conv1,12.012596130371094
1,blocks.5.conv2,10.51765251159668
1,blocks.6.conv1,8.625117301940918
1,blocks.6.conv2,7.386054515838623
1,blocks.7.conv1,6.482200622558594
1,blocks.7.conv2,5.659271240234375
1,blocks.8.conv1,4.677669048309326
1,blocks.8.conv2,4.176490783691406
1,blocks.9.conv1,3.3462440967559814
1,blocks.9.conv2,2.939831018447876
1,blocks.10.conv1,2.3214924335479736
1,blocks.10.conv2,1.9872102737426758
1,blocks.11.conv1,1.7386177778244019
1,blocks.11.conv2,1.4416327476501465
1,blocks.12.conv1,1.1842644214630127
1,blocks.12.conv2,1.0231833457946777
1,blocks.13.conv1,0.844558835029602
1,blocks.13.conv2,0.6758499145507812
1,blocks.14.conv1,0.5686806440353394
1,blocks.14.conv2,0.5056594610214233
1,blocks.15.conv1,0.429036021232605
1,blocks.15.conv2,0.3854101896286011
1,blocks.16.conv1,0.3218795955181122
1,blocks.16.conv2,0.26759034395217896
1,blocks.17.conv1,0.23581187427043915
1,blocks.17.conv2,0.19792409241199493
1,blocks.18.conv1,0.17086760699748993
1,blocks.18.conv2,0.14718762040138245
1,blocks.19.conv1,0.12903565168380737
1,blocks.19.conv2,0.10839726030826569
1,blocks.20.conv1,0.08756011724472046
1,blocks.20.conv2,0.08337018638849258
1,blocks.21.conv1,0.06715628504753113
1,blocks.21.conv2,0.05537879467010498
1,blocks.22.conv1,0.0486379936337471
1,blocks.22.conv2,0.042806610465049744
1,blocks.23.conv1,0.03766098991036415
1,blocks.23.conv2,0.031802356243133545
1,blocks.24.conv1,0.02643619291484356
1,blocks.24.conv2,0.021289508789777756
1,blocks.25.conv1,0.019481515511870384
1,blocks.25.conv2,0.016721423715353012
1,blocks.26.conv1,0.013624876737594604
1,blocks.26.conv2,0.012165193445980549
1,blocks.27.conv1,0.010592290200293064
1,blocks.27.conv2,0.00958904717117548
1,blocks.28.conv1,0.008543435484170914
1,blocks.28.conv2,0.007524283602833748
1,blocks.29.conv1,0.006753592751920223
1,blocks.29.conv2,0.007561734411865473
1,blocks.30.conv1,0.007996783591806889
1,blocks.30.conv2,0.009613017551600933
1,blocks.31.conv1,0.01520383358001709
1,blocks.31.conv2,0.022122958675026894
1,mean_conv2d_grad_norm,4.831847951740313
2,stem.0,0.19608327746391296
2,blocks.0.conv1,0.16465450823307037
2,blocks.0.conv2,0.1807595044374466
2,blocks.1.conv1,0.19111023843288422
2,blocks.1.conv2,0.1743941307067871
2,blocks.2.conv1,0.2117566466331482
2,blocks.2.conv2,0.19073422253131866
2,blocks.3.conv1,0.14141422510147095
2,blocks.3.conv2,0.14605577290058136
2,blocks.4.conv1,0.08281058073043823
2,blocks.4.conv2,0.08467058092355728
2,blocks.5.conv1,0.0762161910533905
2,blocks.5.conv2,0.05305831506848335
2,blocks.6.conv1,0.06194382533431053
2,blocks.6.conv2,0.05225861072540283
2,blocks.7.conv1,0.05995861068367958
2,blocks.7.conv2,0.06340456753969193
2,blocks.8.conv1,0.06748737394809723
2,blocks.8.conv2,0.055893249809741974
2,blocks.9.conv1,0.06661725789308548
2,blocks.9.conv2,0.06035005673766136
2,blocks.10.conv1,0.06798985600471497
2,blocks.10.conv2,0.08235426247119904
2,blocks.11.conv1,0.13438789546489716
2,blocks.11.conv2,0.19990801811218262
2,blocks.12.conv1,0.1683240830898285
2,blocks.12.conv2,0.15105991065502167
2,blocks.13.conv1,0.16060782968997955
2,blocks.13.conv2,0.18423207104206085
2,blocks.14.conv1,0.1653284877538681
2,blocks.14.conv2,0.17416998744010925
2,blocks.15.conv1,0.16360601782798767
2,blocks.15.conv2,0.17747293412685394
2,blocks.16.conv1,0.19741976261138916
2,blocks.16.conv2,0.16953830420970917
2,blocks.17.conv1,0.16136351227760315
2,blocks.17.conv2,0.18096056580543518
2,blocks.18.conv1,0.1517123132944107
2,blocks.18.conv2,0.15402737259864807
2,blocks.19.conv1,0.14939622581005096
2,blocks.19.conv2,0.15278565883636475
2,blocks.20.conv1,0.13430999219417572
2,blocks.20.conv2,0.1457962542772293
2,blocks.21.conv1,0.15809360146522522
2,blocks.21.conv2,0.16152842342853546
2,blocks.22.conv1,0.16709889471530914
2,blocks.22.conv2,0.18353062868118286
2,blocks.23.conv1,0.18993158638477325
2,blocks.23.conv2,0.20404069125652313
2,blocks.24.conv1,0.18273389339447021
2,blocks.24.conv2,0.19427494704723358
2,blocks.25.conv1,0.16034536063671112
2,blocks.25.conv2,0.15305396914482117
2,blocks.26.conv1,0.1398913562297821
2,blocks.26.conv2,0.12525677680969238
2,blocks.27.conv1,0.11746904999017715
2,blocks.27.conv2,0.11850176751613617
2,blocks.28.conv1,0.10970132797956467
2,blocks.28.conv2,0.10735997557640076
2,blocks.29.conv1,0.0924551710486412
2,blocks.29.conv2,0.07973704487085342
2,blocks.30.conv1,0.07240255177021027
2,blocks.30.conv2,0.06414652615785599
2,blocks.31.conv1,0.06089809536933899
2,blocks.31.conv2,0.06469899415969849
2,mean_conv2d_grad_norm,0.13408513378638487
