step,train_loss,train_acc1,lr
50,2.3030507135391236,11.484375,0.0001
100,2.302773895263672,11.2265625,0.0001
150,2.3022178490956624,10.963541666666666,0.0001
200,2.301769517660141,10.94921875,0.0001
250,2.301333034515381,10.85,0.0001
300,2.3011509545644127,10.6171875,0.0001
350,2.300707485335214,10.622767857142858,0.0001
401,2.294556679725647,12.234375,0.02008
451,2.2824823307991027,12.8359375,0.02008
501,2.2727888377507526,13.380208333333334,0.02008
551,2.260786221027374,13.734375,0.02008
601,2.241341113090515,14.5,0.02008
651,2.2152471367518105,15.270833333333334,0.02008
701,2.189598959173475,16.113839285714285,0.02008
752,2.0102117538452147,22.34375,0.04006
802,1.989264690876007,23.4453125,0.04006
852,1.9785186076164245,24.151041666666668,0.04006
902,1.976518108844757,24.1953125,0.04006
952,1.9652946076393127,24.584375,0.04006
1002,1.953655612071355,25.080729166666668,0.04006
1052,1.943905508177621,25.600446428571427,0.04006
1103,1.8733914041519164,28.9375,0.060039999999999996
1153,1.8815960311889648,29.0625,0.060039999999999996
1203,1.8815076486269633,29.005208333333332,0.060039999999999996
1253,1.86731477022171,29.546875,0.060039999999999996
1303,1.8798409190177918,29.05,0.060039999999999996
1353,1.8948691964149476,28.630208333333332,0.060039999999999996
1403,1.9003573036193848,28.359375,0.060039999999999996
1454,1.9252996158599853,27.171875,0.08002
1504,1.9672434866428374,26.21875,0.08002
1554,1.9557299931844077,26.104166666666668,0.08002
1604,1.9520690822601319,26.33984375,0.08002
1654,1.9424119987487793,26.6625,0.08002
1704,1.942102733850479,26.640625,0.08002
1754,1.942349397114345,26.6875,0.08002
1805,1.9317210388183594,28.03125,0.1
1855,1.8977156925201415,28.9296875,0.1
1905,1.8858104753494263,29.161458333333332,0.1
1955,1.8718261724710465,29.44140625,0.1
2005,1.8650495848655702,29.45,0.1
2055,1.8570649961630503,29.723958333333332,0.1
2105,1.8526461638723102,29.852678571428573,0.1
2156,1.818296937942505,31.328125,0.1
2206,1.7952451920509338,32.25,0.1
2256,1.7827889855702719,32.588541666666664,0.1
2306,1.7730084776878356,32.7421875,0.1
2356,1.7674815587997437,32.7875,0.1
2406,1.760155548652013,33.0,0.1
2456,1.7524080044882637,33.372767857142854,0.1
2507,1.6923354244232178,35.609375,0.1
2557,1.6901653730869293,36.140625,0.1
2607,1.696765927473704,35.953125,0.1
2657,1.6958213347196578,36.2109375,0.1
2707,1.6910861659049987,36.371875,0.1
2757,1.6875938598314921,36.40625,0.1
2807,1.6828700515202113,36.645089285714285,0.1
2858,1.6671613669395446,37.484375,0.1
2908,1.6619207763671875,37.640625,0.1
2958,1.6473599942525228,38.083333333333336,0.1
3008,1.647195879817009,38.2265625,0.1
3058,1.6362509727478027,38.6625,0.1
3108,1.6311646684010823,39.041666666666664,0.1
3158,1.6252841683796473,39.279017857142854,0.1
3209,1.5758567094802856,41.0625,0.1
3259,1.567035630941391,41.484375,0.1
3309,1.5713878440856934,41.598958333333336,0.1
3359,1.5727330219745637,41.48046875,0.1
3409,1.5675621023178101,41.690625,0.1
3459,1.5637070751190185,42.03125,0.1
