epoch,layer,grad_norm
1,stem.0,0.3887079954147339
1,blocks.0.conv1,0.2300189733505249
1,blocks.0.conv2,0.17599080502986908
1,blocks.1.conv1,0.14690141379833221
1,blocks.1.conv2,0.12048442661762238
1,blocks.2.conv1,0.10802341252565384
1,blocks.2.conv2,0.09180012345314026
1,blocks.3.conv1,0.0926012247800827
1,blocks.3.conv2,0.08247648924589157
1,blocks.4.conv1,0.07309141755104065
1,blocks.4.conv2,0.06261415779590607
1,blocks.5.conv1,0.06384775787591934
1,blocks.5.conv2,0.061043720692396164
1,blocks.6.conv1,0.05913299322128296
1,blocks.6.conv2,0.054096732288599014
1,blocks.7.conv1,0.047590918838977814
1,blocks.7.conv2,0.056389618664979935
1,blocks.8.conv1,0.053589001297950745
1,blocks.8.conv2,0.05067279189825058
1,blocks.9.conv1,0.05450857803225517
1,blocks.9.conv2,0.04814915731549263
1,blocks.10.conv1,0.0515156015753746
1,blocks.10.conv2,0.04898941144347191
1,blocks.11.conv1,0.05329946428537369
1,blocks.11.conv2,0.04277421906590462
1,blocks.12.conv1,0.05060737952589989
1,blocks.12.conv2,0.0453309640288353
1,blocks.13.conv1,0.0433390848338604
1,blocks.13.conv2,0.041192006319761276
1,blocks.14.conv1,0.04162760451436043
1,blocks.14.conv2,0.046165451407432556
1,blocks.15.conv1,0.03693506121635437
1,blocks.15.conv2,0.04183844104409218
1,blocks.16.conv1,0.039519939571619034
1,blocks.16.conv2,0.03765897452831268
1,blocks.17.conv1,0.0434475801885128
1,blocks.17.conv2,0.03819603472948074
1,blocks.18.conv1,0.04045313969254494
1,blocks.18.conv2,0.03821442276239395
1,blocks.19.conv1,0.03697093948721886
1,blocks.19.conv2,0.039462920278310776
1,blocks.20.conv1,0.037775203585624695
1,blocks.20.conv2,0.036441490054130554
1,blocks.21.conv1,0.03389986604452133
1,blocks.21.conv2,0.035746507346630096
1,blocks.22.conv1,0.035025615245103836
1,blocks.22.conv2,0.03682452812790871
1,blocks.23.conv1,0.034852251410484314
1,blocks.23.conv2,0.033061254769563675
1,blocks.24.conv1,0.032206859439611435
1,blocks.24.conv2,0.035388458520174026
1,blocks.25.conv1,0.0294781681150198
1,blocks.25.conv2,0.035040389746427536
1,blocks.26.conv1,0.03275737166404724
1,blocks.26.conv2,0.031707849353551865
1,blocks.27.conv1,0.032333895564079285
1,blocks.27.conv2,0.0387064628303051
1,blocks.28.conv1,0.033899664878845215
1,blocks.28.conv2,0.034717194736003876
1,blocks.29.conv1,0.03490835428237915
1,blocks.29.conv2,0.03976896405220032
1,blocks.30.conv1,0.035456810146570206
1,blocks.30.conv2,0.03646296262741089
1,blocks.31.conv1,0.0343899130821228
1,blocks.31.conv2,0.03488904610276222
1,mean_conv2d_grad_norm,0.05869245279866916
2,stem.0,0.7837892174720764
2,blocks.0.conv1,0.8221396207809448
2,blocks.0.conv2,0.7212827205657959
2,blocks.1.conv1,0.6214331984519958
2,blocks.1.conv2,0.5764495134353638
2,blocks.2.conv1,0.4881254732608795
2,blocks.2.conv2,0.4603346884250641
2,blocks.3.conv1,0.3404889404773712
2,blocks.3.conv2,0.3162921071052551
2,blocks.4.conv1,0.3142663240432739
2,blocks.4.conv2,0.2998659312725067
2,blocks.5.conv1,0.21811649203300476
2,blocks.5.conv2,0.2161971479654312
2,blocks.6.conv1,0.24320420622825623
2,blocks.6.conv2,0.21434716880321503
2,blocks.7.conv1,0.2068004012107849
2,blocks.7.conv2,0.219432532787323
2,blocks.8.conv1,0.20282240211963654
2,blocks.8.conv2,0.19465096294879913
2,blocks.9.conv1,0.18688765168190002
2,blocks.9.conv2,0.17304615676403046
2,blocks.10.conv1,0.18048091232776642
2,blocks.10.conv2,0.1665874868631363
2,blocks.11.conv1,0.16322186589241028
2,blocks.11.conv2,0.17882585525512695
2,blocks.12.conv1,0.1949094980955124
2,blocks.12.conv2,0.1857634037733078
2,blocks.13.conv1,0.18192929029464722
2,blocks.13.conv2,0.17861245572566986
2,blocks.14.conv1,0.15426035225391388
2,blocks.14.conv2,0.14948417246341705
2,blocks.15.conv1,0.16259035468101501
2,blocks.15.conv2,0.14977842569351196
2,blocks.16.conv1,0.1766585111618042
2,blocks.16.conv2,0.1540704220533371
2,blocks.17.conv1,0.1533328741788864
2,blocks.17.conv2,0.13941466808319092
2,blocks.18.conv1,0.1573864072561264
2,blocks.18.conv2,0.15028569102287292
2,blocks.19.conv1,0.12279754132032394
2,blocks.19.conv2,0.1292748749256134
2,blocks.20.conv1,0.12873220443725586
2,blocks.20.conv2,0.12764503061771393
2,blocks.21.conv1,0.15875546634197235
2,blocks.21.conv2,0.14800633490085602
2,blocks.22.conv1,0.13721811771392822
2,blocks.22.conv2,0.13042470812797546
2,blocks.23.conv1,0.15022890269756317
2,blocks.23.conv2,0.15042048692703247
2,blocks.24.conv1,0.1136382445693016
2,blocks.24.conv2,0.1135566234588623
2,blocks.25.conv1,0.1612783968448639
2,blocks.25.conv2,0.16362328827381134
2,blocks.26.conv1,0.156317338347435
2,blocks.26.conv2,0.16623148322105408
2,blocks.27.conv1,0.17523682117462158
2,blocks.27.conv2,0.18202964961528778
2,blocks.28.conv1,0.148872971534729
2,blocks.28.conv2,0.17015811800956726
2,blocks.29.conv1,0.15850932896137238
2,blocks.29.conv2,0.18353351950645447
2,blocks.30.conv1,0.1754416823387146
2,blocks.30.conv2,0.16046664118766785
2,blocks.31.conv1,0.16270537674427032
