epoch,layer,grad_norm
1,stem.0,0.035191357135772705
1,blocks.0.conv1,0.027540268376469612
1,blocks.0.conv2,0.023847302421927452
1,blocks.1.conv1,0.020748769864439964
1,blocks.1.conv2,0.017475737258791924
1,blocks.2.conv1,0.015946630388498306
1,blocks.2.conv2,0.015414305031299591
1,blocks.3.conv1,0.017283804714679718
1,blocks.3.conv2,0.021308723837137222
1,mean_conv2d_grad_norm,0.0216396554476685
2,stem.0,1.0182145833969116
2,blocks.0.conv1,0.9342084527015686
2,blocks.0.conv2,0.9233070611953735
2,blocks.1.conv1,0.9224843382835388
2,blocks.1.conv2,0.7035413980484009
2,blocks.2.conv1,0.5969583988189697
2,blocks.2.conv2,0.494680792093277
2,blocks.3.conv1,0.3865102231502533
2,blocks.3.conv2,0.28858432173728943
2,mean_conv2d_grad_norm,0.696498841047287
3,stem.0,0.4985637962818146
3,blocks.0.conv1,0.5138353705406189
3,blocks.0.conv2,0.48573559522628784
3,blocks.1.conv1,0.45873335003852844
3,blocks.1.conv2,0.41585853695869446
3,blocks.2.conv1,0.3873922824859619
3,blocks.2.conv2,0.31701144576072693
3,blocks.3.conv1,0.2674931585788727
3,blocks.3.conv2,0.22175851464271545
3,mean_conv2d_grad_norm,0.3962646722793579
4,stem.0,0.4825840890407562
4,blocks.0.conv1,0.47714585065841675
4,blocks.0.conv2,0.5131850242614746
4,blocks.1.conv1,0.5144262909889221
4,blocks.1.conv2,0.4562123417854309
4,blocks.2.conv1,0.401958167552948
4,blocks.2.conv2,0.3497941792011261
4,blocks.3.conv1,0.2761428654193878
4,blocks.3.conv2,0.2548849582672119
4,mean_conv2d_grad_norm,0.4140370852417416
5,stem.0,0.31731942296028137
5,blocks.0.conv1,0.3544010519981384
5,blocks.0.conv2,0.42537832260131836
5,blocks.1.conv1,0.43267911672592163
5,blocks.1.conv2,0.3797229826450348
5,blocks.2.conv1,0.32397517561912537
5,blocks.2.conv2,0.28220444917678833
5,blocks.3.conv1,0.23620998859405518
5,blocks.3.conv2,0.21200723946094513
5,mean_conv2d_grad_norm,0.3293219721979565
6,stem.0,0.2844635844230652
6,blocks.0.conv1,0.3285701274871826
6,blocks.0.conv2,0.3647095561027527
6,blocks.1.conv1,0.396817684173584
6,blocks.1.conv2,0.3383522033691406
6,blocks.2.conv1,0.272422194480896
6,blocks.2.conv2,0.26531147956848145
6,blocks.3.conv1,0.24240273237228394
6,blocks.3.conv2,0.22402234375476837
6,mean_conv2d_grad_norm,0.3018968784146839
7,stem.0,0.22284379601478577
7,blocks.0.conv1,0.26571959257125854
7,blocks.0.conv2,0.2978407144546509
7,blocks.1.conv1,0.32544469833374023
7,blocks.1.conv2,0.3060503602027893
7,blocks.2.conv1,0.27253007888793945
7,blocks.2.conv2,0.2513906955718994
7,blocks.3.conv1,0.23201553523540497
7,blocks.3.conv2,0.2076381891965866
7,mean_conv2d_grad_norm,0.2646081844965617
8,stem.0,0.24399934709072113
8,blocks.0.conv1,0.2544834017753601
8,blocks.0.conv2,0.31218257546424866
8,blocks.1.conv1,0.3374326527118683
8,blocks.1.conv2,0.3430190980434418
8,blocks.2.conv1,0.30819302797317505
8,blocks.2.conv2,0.27726656198501587
8,blocks.3.conv1,0.24615179002285004
8,blocks.3.conv2,0.2031247615814209
8,mean_conv2d_grad_norm,0.28065035740534466
9,stem.0,0.17017677426338196
9,blocks.0.conv1,0.2304653823375702
9,blocks.0.conv2,0.2761271595954895
9,blocks.1.conv1,0.3205306828022003
9,blocks.1.conv2,0.3206152021884918
9,blocks.2.conv1,0.30030494928359985
9,blocks.2.conv2,0.2591409683227539
9,blocks.3.conv1,0.2256111055612564
9,blocks.3.conv2,0.18718737363815308
9,mean_conv2d_grad_norm,0.25446217755476636
10,stem.0,0.1993304342031479
10,blocks.0.conv1,0.2468992918729782
10,blocks.0.conv2,0.2933347225189209
10,blocks.1.conv1,0.3130522668361664
10,blocks.1.conv2,0.3097381293773651
10,blocks.2.conv1,0.280784547328949
10,blocks.2.conv2,0.2492845356464386
10,blocks.3.conv1,0.2102806717157364
10,blocks.3.conv2,0.1504911631345749
10,mean_conv2d_grad_norm,0.2503550847371419
11,stem.0,0.21092383563518524
11,blocks.0.conv1,0.2542053163051605
11,blocks.0.conv2,0.30078792572021484
11,blocks.1.conv1,0.3615967035293579
11,blocks.1.conv2,0.36386317014694214
11,blocks.2.conv1,0.331758052110672
11,blocks.2.conv2,0.31299665570259094
11,blocks.3.conv1,0.2557850778102875
11,blocks.3.conv2,0.20394277572631836
11,mean_conv2d_grad_norm,0.28842883474296993
12,stem.0,0.24503977596759796
12,blocks.0.conv1,0.2635291814804077
12,blocks.0.conv2,0.312218576669693
12,blocks.1.conv1,0.3169342279434204
12,blocks.1.conv2,0.3049996793270111
12,blocks.2.conv1,0.27239465713500977
12,blocks.2.conv2,0.2339058369398117
12,blocks.3.conv1,0.20302389562129974
12,blocks.3.conv2,0.17232376337051392
12,mean_conv2d_grad_norm,0.2582632882727517
13,stem.0,0.18884721398353577
13,blocks.0.conv1,0.1837986707687378
13,blocks.0.conv2,0.23980006575584412
13,blocks.1.conv1,0.2694195508956909
13,blocks.1.conv2,0.26191258430480957
13,blocks.2.conv1,0.21908968687057495
13,blocks.2.conv2,0.19860781729221344
13,blocks.3.conv1,0.18077993392944336
13,blocks.3.conv2,0.14253036677837372
13,mean_conv2d_grad_norm,0.20942065450880262
14,stem.0,0.14278222620487213
14,blocks.0.conv1,0.24297483265399933
14,blocks.0.conv2,0.2939467430114746
14,blocks.1.conv1,0.3130266070365906
14,blocks.1.conv2,0.3088349997997284
14,blocks.2.conv1,0.2840415835380554
14,blocks.2.conv2,0.26173484325408936
14,blocks.3.conv1,0.21837221086025238
14,blocks.3.conv2,0.15989676117897034
14,mean_conv2d_grad_norm,0.24729008972644806
15,stem.0,0.2042398899793625
15,blocks.0.conv1,0.27775973081588745
15,blocks.0.conv2,0.3194875419139862
15,blocks.1.conv1,0.3267795443534851
15,blocks.1.conv2,0.3138267695903778
15,blocks.2.conv1,0.28563976287841797
15,blocks.2.conv2,0.25101664662361145
15,blocks.3.conv1,0.20746009051799774
15,blocks.3.conv2,0.16187871992588043
15,mean_conv2d_grad_norm,0.2608987440665563
16,stem.0,0.36997371912002563
16,blocks.0.conv1,0.38412564992904663
16,blocks.0.conv2,0.43774324655532837
16,blocks.1.conv1,0.4714100956916809
16,blocks.1.conv2,0.46063029766082764
16,blocks.2.conv1,0.4064416289329529
16,blocks.2.conv2,0.3726760149002075
16,blocks.3.conv1,0.32255879044532776
16,blocks.3.conv2,0.24688097834587097
16,mean_conv2d_grad_norm,0.3858267135090298
17,stem.0,0.24968358874320984
17,blocks.0.conv1,0.2441040277481079
17,blocks.0.conv2,0.2998838424682617
17,blocks.1.conv1,0.30762985348701477
17,blocks.1.conv2,0.2913331985473633
17,blocks.2.conv1,0.2606223523616791
17,blocks.2.conv2,0.23155878484249115
17,blocks.3.conv1,0.21067024767398834
17,blocks.3.conv2,0.16159313917160034
17,mean_conv2d_grad_norm,0.25078655944930184
18,stem.0,0.19686159491539001
18,blocks.0.conv1,0.26512375473976135
18,blocks.0.conv2,0.3193337917327881
18,blocks.1.conv1,0.34061840176582336
18,blocks.1.conv2,0.3289213180541992
18,blocks.2.conv1,0.31131911277770996
18,blocks.2.conv2,0.28887733817100525
18,blocks.3.conv1,0.2416631430387497
18,blocks.3.conv2,0.1824391931295395
18,mean_conv2d_grad_norm,0.27501751648055184
19,stem.0,0.22059747576713562
19,blocks.0.conv1,0.28530171513557434
19,blocks.0.conv2,0.35289856791496277
19,blocks.1.conv1,0.3794897198677063
19,blocks.1.conv2,0.36243385076522827
19,blocks.2.conv1,0.3237306773662567
19,blocks.2.conv2,0.29217013716697693
19,blocks.3.conv1,0.2527007758617401
19,blocks.3.conv2,0.18795250356197357
19,mean_conv2d_grad_norm,0.29525282482306164
20,stem.0,0.17567726969718933
20,blocks.0.conv1,0.22475817799568176
20,blocks.0.conv2,0.2744249701499939
20,blocks.1.conv1,0.2920707166194916
20,blocks.1.conv2,0.2741405665874481
20,blocks.2.conv1,0.2529968023300171
20,blocks.2.conv2,0.24028418958187103
20,blocks.3.conv1,0.20097923278808594
20,blocks.3.conv2,0.154885396361351
20,mean_conv2d_grad_norm,0.23224636912345886
21,stem.0,0.20523016154766083
21,blocks.0.conv1,0.21184295415878296
21,blocks.0.conv2,0.27166128158569336
21,blocks.1.conv1,0.29045847058296204
21,blocks.1.conv2,0.27689504623413086
21,blocks.2.conv1,0.2531677186489105
21,blocks.2.conv2,0.24457760155200958
21,blocks.3.conv1,0.21893884241580963
21,blocks.3.conv2,0.1660323292016983
21,mean_conv2d_grad_norm,0.23764493399196202
22,stem.0,0.2205081731081009
22,blocks.0.conv1,0.25270721316337585
22,blocks.0.conv2,0.301041841506958
22,blocks.1.conv1,0.33465877175331116
22,blocks.1.conv2,0.3203139901161194
22,blocks.2.conv1,0.2942425310611725
22,blocks.2.conv2,0.2651265263557434
22,blocks.3.conv1,0.21667996048927307
22,blocks.3.conv2,0.15729452669620514
22,mean_conv2d_grad_norm,0.26250817047225106
23,stem.0,0.17099741101264954
23,blocks.0.conv1,0.20628704130649567
23,blocks.0.conv2,0.2600920498371124
23,blocks.1.conv1,0.2909391224384308
23,blocks.1.conv2,0.27444297075271606
23,blocks.2.conv1,0.24294431507587433
23,blocks.2.conv2,0.22580331563949585
23,blocks.3.conv1,0.20178472995758057
23,blocks.3.conv2,0.15564700961112976
23,mean_conv2d_grad_norm,0.22543755173683167
24,stem.0,0.1798301488161087
24,blocks.0.conv1,0.22832997143268585
24,blocks.0.conv2,0.2625995874404907
24,blocks.1.conv1,0.27089253067970276
24,blocks.1.conv2,0.27068448066711426
24,blocks.2.conv1,0.24491766095161438
24,blocks.2.conv2,0.2229095697402954
24,blocks.3.conv1,0.20649799704551697
24,blocks.3.conv2,0.18257823586463928
24,mean_conv2d_grad_norm,0.22991557584868538
25,stem.0,0.16654257476329803
25,blocks.0.conv1,0.20926497876644135
25,blocks.0.conv2,0.2613544166088104
25,blocks.1.conv1,0.2824350595474243
