step,train_loss,train_acc1,lr
50,2.307765426635742,10.1875,0.0001
100,2.30213515996933,11.2109375,0.0001
150,2.2976174545288086,12.208333333333334,0.0001
200,2.2933169412612915,12.515625,0.0001
250,2.289413719177246,12.915625,0.0001
300,2.2857542657852172,13.3359375,0.0001
350,2.2819017696380617,13.995535714285714,0.0001
401,2.005603530406952,24.828125,0.02008
451,1.9043279552459718,28.3671875,0.02008
501,1.847534724076589,29.604166666666668,0.02008
551,1.7955565828084945,31.51953125,0.02008
601,1.7489315481185914,33.328125,0.02008
651,1.7023385548591614,35.309895833333336,0.02008
701,1.6698284574917384,36.78794642857143,0.02008
752,1.4912902903556824,44.890625,0.04006
802,1.4611095595359802,46.234375,0.04006
852,1.4245744379361471,47.651041666666664,0.04006
